Cbc0010I After 50200 nodes, 12596 on tree, 408 best solution, best possible 122.01497 (21516.44 seconds)
Cbc0010I After 50300 nodes, 12599 on tree, 408 best solution, best possible 122.01497 (21559.71 seconds)
Cbc0038I Full problem 20945 rows 37129 columns, reduced to 6529 rows 8731 columns
Cbc0010I After 50400 nodes, 12598 on tree, 408 best solution, best possible 122.01497 (21616.06 seconds)
Cbc0010I After 50500 nodes, 12603 on tree, 408 best solution, best possible 122.01497 (21663.00 seconds)
Cbc0010I After 50600 nodes, 12603 on tree, 408 best solution, best possible 122.01497 (21680.29 seconds)
Cbc0010I After 50700 nodes, 12597 on tree, 408 best solution, best possible 122.01497 (21711.27 seconds)
Cbc0010I After 50800 nodes, 12599 on tree, 408 best solution, best possible 122.01497 (21761.25 seconds)
Cbc0010I After 50900 nodes, 12606 on tree, 408 best solution, best possible 122.01497 (21786.54 seconds)
Cbc0010I After 51000 nodes, 12601 on tree, 408 best solution, best possible 122.01497 (21810.26 seconds)
Cbc0010I After 51100 nodes, 12607 on tree, 408 best solution, best possible 122.01497 (21836.74 seconds)
Cbc0010I After 51200 nodes, 12603 on tree, 408 best solution, best possible 122.01497 (21875.57 seconds)
Cbc0010I After 51300 nodes, 12607 on tree, 408 best solution, best possible 122.01497 (21912.56 seconds)
Cbc0010I After 51400 nodes, 12598 on tree, 408 best solution, best possible 122.01497 (21941.73 seconds)
Cbc0010I After 51500 nodes, 12601 on tree, 408 best solution, best possible 122.01497 (21980.23 seconds)
Cbc0010I After 51600 nodes, 12608 on tree, 408 best solution, best possible 122.01497 (22014.05 seconds)
Cbc0010I After 51700 nodes, 12598 on tree, 408 best solution, best possible 122.01497 (22072.58 seconds)
Cbc0010I After 51800 nodes, 12596 on tree, 408 best solution, best possible 122.01497 (22121.69 seconds)
Cbc0010I After 51900 nodes, 12601 on tree, 408 best solution, best possible 122.01497 (22150.79 seconds)
Cbc0010I After 52000 nodes, 12595 on tree, 408 best solution, best possible 122.01497 (22211.63 seconds)
Cbc0010I After 52100 nodes, 12604 on tree, 408 best solution, best possible 122.01497 (22248.90 seconds)
Cbc0010I After 52200 nodes, 12602 on tree, 408 best solution, best possible 122.01497 (22299.89 seconds)
Cbc0010I After 52300 nodes, 12598 on tree, 408 best solution, best possible 122.01497 (22346.11 seconds)
